left_topic,right_topic,shared_documents,jaccard
crispr-bibliometrics,telemedicine-bibliometrics,19,0.014925
crispr-bibliometrics,microbiome-bibliometrics,75,0.0499
crispr-bibliometrics,medical-imaging-bibliometrics,28,0.021196
crispr-bibliometrics,alzheimer-bibliometrics,25,0.024343
crispr-bibliometrics,stem-cell-bibliometrics,149,0.087084
crispr-bibliometrics,nanomedicine-bibliometrics,44,0.054863
crispr-bibliometrics,antibiotic-resistance-bibliometrics,40,0.048251
crispr-bibliometrics,precision-medicine-bibliometrics,107,0.070487
crispr-bibliometrics,radiomics-bibliometrics,9,0.011568
crispr-bibliometrics,gene-therapy-bibliometrics,106,0.129902
crispr-bibliometrics,vaccine-hesitancy-bibliometrics,6,0.010118
telemedicine-bibliometrics,microbiome-bibliometrics,36,0.018987
telemedicine-bibliometrics,medical-imaging-bibliometrics,108,0.067712
telemedicine-bibliometrics,alzheimer-bibliometrics,27,0.019579
telemedicine-bibliometrics,stem-cell-bibliometrics,44,0.020276
telemedicine-bibliometrics,nanomedicine-bibliometrics,6,0.005025
telemedicine-bibliometrics,antibiotic-resistance-bibliometrics,17,0.014096
telemedicine-bibliometrics,precision-medicine-bibliometrics,98,0.0521
telemedicine-bibliometrics,radiomics-bibliometrics,20,0.017841
telemedicine-bibliometrics,gene-therapy-bibliometrics,14,0.011094
telemedicine-bibliometrics,vaccine-hesitancy-bibliometrics,22,0.023631
microbiome-bibliometrics,medical-imaging-bibliometrics,47,0.024202
microbiome-bibliometrics,alzheimer-bibliometrics,72,0.044444
microbiome-bibliometrics,stem-cell-bibliometrics,117,0.049098
microbiome-bibliometrics,nanomedicine-bibliometrics,32,0.022008
microbiome-bibliometrics,antibiotic-resistance-bibliometrics,127,0.091896
microbiome-bibliometrics,precision-medicine-bibliometrics,165,0.078571
microbiome-bibliometrics,radiomics-bibliometrics,25,0.017832
microbiome-bibliometrics,gene-therapy-bibliometrics,46,0.030343
microbiome-bibliometrics,vaccine-hesitancy-bibliometrics,11,0.008958
medical-imaging-bibliometrics,alzheimer-bibliometrics,41,0.028833
medical-imaging-bibliometrics,stem-cell-bibliometrics,83,0.037934
medical-imaging-bibliometrics,nanomedicine-bibliometrics,29,0.023616
medical-imaging-bibliometrics,antibiotic-resistance-bibliometrics,18,0.014263
medical-imaging-bibliometrics,precision-medicine-bibliometrics,186,0.100541
medical-imaging-bibliometrics,radiomics-bibliometrics,156,0.149712
medical-imaging-bibliometrics,gene-therapy-bibliometrics,43,0.033333
medical-imaging-bibliometrics,vaccine-hesitancy-bibliometrics,2,0.001984
alzheimer-bibliometrics,stem-cell-bibliometrics,72,0.037855
alzheimer-bibliometrics,nanomedicine-bibliometrics,17,0.018028
alzheimer-bibliometrics,antibiotic-resistance-bibliometrics,9,0.00924
alzheimer-bibliometrics,precision-medicine-bibliometrics,61,0.036353
alzheimer-bibliometrics,radiomics-bibliometrics,9,0.01009
alzheimer-bibliometrics,gene-therapy-bibliometrics,33,0.032901
alzheimer-bibliometrics,vaccine-hesitancy-bibliometrics,4,0.005642
stem-cell-bibliometrics,nanomedicine-bibliometrics,109,0.065702
stem-cell-bibliometrics,antibiotic-resistance-bibliometrics,42,0.024014
stem-cell-bibliometrics,precision-medicine-bibliometrics,224,0.096427
stem-cell-bibliometrics,radiomics-bibliometrics,21,0.012441
stem-cell-bibliometrics,gene-therapy-bibliometrics,213,0.130595
stem-cell-bibliometrics,vaccine-hesitancy-bibliometrics,10,0.006618
nanomedicine-bibliometrics,antibiotic-resistance-bibliometrics,22,0.029139
nanomedicine-bibliometrics,precision-medicine-bibliometrics,75,0.05144
nanomedicine-bibliometrics,radiomics-bibliometrics,5,0.007246
nanomedicine-bibliometrics,gene-therapy-bibliometrics,78,0.103723
nanomedicine-bibliometrics,vaccine-hesitancy-bibliometrics,0,0.0
antibiotic-resistance-bibliometrics,precision-medicine-bibliometrics,45,0.029782
antibiotic-resistance-bibliometrics,radiomics-bibliometrics,4,0.005602
antibiotic-resistance-bibliometrics,gene-therapy-bibliometrics,18,0.021557
antibiotic-resistance-bibliometrics,vaccine-hesitancy-bibliometrics,4,0.007605
precision-medicine-bibliometrics,radiomics-bibliometrics,120,0.088626
precision-medicine-bibliometrics,gene-therapy-bibliometrics,105,0.069814
precision-medicine-bibliometrics,vaccine-hesitancy-bibliometrics,12,0.009419
radiomics-bibliometrics,gene-therapy-bibliometrics,12,0.01581
radiomics-bibliometrics,vaccine-hesitancy-bibliometrics,0,0.0
gene-therapy-bibliometrics,vaccine-hesitancy-bibliometrics,5,0.008651
