topic_id,project,documents,corpus_sha256,case_id,figure_sha256,nodes,edges,communities,available_cross_edges,available_multi_hop_paths,available_articulation_candidates,available_hub_candidates,eligible,preparation_status,preparation_warning
crispr-bibliometrics,runs/formal-multitopic-graphrag\projects\crispr-bibliometrics,469,f3382ff9efe1d8654cfd3b7ce95676f63d4dbbd41d8567645a7fabdec9d252cf,d19f4dd0e8bc2ee3d46d63bd37d5d65c5d6732733c40f23c1f13db7da2d89ada,3a2dde03be0f789c7a254a74d53d96ce05ab4efc104e3afd860e002075dab4e3,50,150,8,12,8,1,5,True,reused,
telemedicine-bibliometrics,runs/formal-multitopic-graphrag\projects\telemedicine-bibliometrics,823,9b5cecdcf9720debf80d5c53e9237e3f7855a9f84bab49476dc578e58b276862,74e888d9b067757a03c97e9eaef4c3de77f6979c12d3c849a943faf9a69a709f,f1e04dad5542accb2d9f2962272a5b1e19c25fce35f25f5c3081b9fccee7b0f0,50,150,6,12,8,1,5,True,created_core_artifacts,"The full report export failed after all graph artifacts were saved: ValueError: Every figure must map to a results subsection; missing figure numbers: [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]"
microbiome-bibliometrics,runs/formal-multitopic-graphrag\projects\microbiome-bibliometrics,1109,fedb8d9893cda42c0e333345cf7bd93236316ca4891b5bebd20d09c7d9962757,6f497ae718a405c6a2fde504e724729ff2c19e51573549008f59e1e14cbdc0c6,5455d52b1c6cfe8196e52dca64ca78d708538ab063e417f16145cc4f051a2eea,50,150,7,12,8,3,5,True,created_core_artifacts,"The full report export failed after all graph artifacts were saved: ValueError: Every figure must map to a results subsection; missing figure numbers: [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]"
medical-imaging-bibliometrics,runs/formal-multitopic-graphrag\projects\medical-imaging-bibliometrics,880,a4bdd07d6305c1e970df2baa638232cb29166fde354197d36fc9365898613707,53c98260c76fcd50c6f288caa833856ad35e76beaf679d68515f58e871aa04c8,a9a900c15fb0a27de7cfcd2c600781e975e35be71e1a8fb5cec89e3fb5fef63e,50,150,5,12,8,0,5,True,created_core_artifacts,"The full report export failed after all graph artifacts were saved: ValueError: Every figure must map to a results subsection; missing figure numbers: [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]"
alzheimer-bibliometrics,runs/formal-multitopic-graphrag\projects\alzheimer-bibliometrics,583,5bcda614ad331dc65be370a98f418017ebdf67ec0feaf3e7d828c33b9c724471,f516e65d6899b898e51c27c87ab731801ae4037e8ec39828ef0c35d86b806b88,401a51214b5248663d5ec56e9c3608d74e7ab7024415441735964b9b736cc734,50,150,7,12,8,1,5,True,created_core_artifacts,"The full report export failed after all graph artifacts were saved: ValueError: Every figure must map to a results subsection; missing figure numbers: [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]"
stem-cell-bibliometrics,runs/formal-multitopic-graphrag\projects\stem-cell-bibliometrics,1391,ccf8ab3605b7f2eb74a41499778570629393ffab047e6d0f2e796821b90dfd9b,73c3ae9dbb229d54a87b516c6c514dc97a9ea1cc372480a67303c7cd0ce7a9b2,97dfc3d032eb2d909dae956be2efad629f9eba2b610d5b9320c58d353237a2f0,50,150,6,12,8,3,5,True,created_core_artifacts,"The full report export failed after all graph artifacts were saved: ValueError: Every figure must map to a results subsection; missing figure numbers: [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]"
nanomedicine-bibliometrics,runs/formal-multitopic-graphrag\projects\nanomedicine-bibliometrics,377,887e1b03800620b8a15115bcf3c6a36c619172e7a95e96faca55996efee7ccd2,b8366de2e1be9a2e6d7d7c45955830862ef483b1e96883659c59508330494afc,45c42900bb7c57435d8211094e0cff17f72f449b7838a8e9fc35c2a8716efada,50,151,6,12,8,2,5,True,created_core_artifacts,"The full report export failed after all graph artifacts were saved: ValueError: Every figure must map to a results subsection; missing figure numbers: [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]"
antibiotic-resistance-bibliometrics,runs/formal-multitopic-graphrag\projects\antibiotic-resistance-bibliometrics,400,1607eacc9582cbc9e5f92e2002aa920e0e6344e0c73a3a389a86f14efa28c393,74547c3cbc2733942cea7d847411bd21f13c66ba7b3436a50f119e5be36d61b5,286a7ab30f471ab6d2cf024d096c3fd3fd253defefbd4e7dfeb808449a734c26,50,151,9,12,8,1,5,True,created_core_artifacts,"The full report export failed after all graph artifacts were saved: ValueError: Every figure must map to a results subsection; missing figure numbers: [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]"
precision-medicine-bibliometrics,runs/formal-multitopic-graphrag\projects\precision-medicine-bibliometrics,1156,53d8ade151e5b2d103e94c8a5a1a441fa8918345c25c63b3c7040730362c6504,a29d7ddb5b5b7a97ecb38f6a779741d60160c8e29bc2d05a7914851b7f5000d3,0d414b0756650803c660c0dc2a6d70b9e443d7fa7c62c38f12191f71e119f917,50,152,7,12,8,2,5,True,created_core_artifacts,"The full report export failed after all graph artifacts were saved: ValueError: Every figure must map to a results subsection; missing figure numbers: [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]"
radiomics-bibliometrics,runs/formal-multitopic-graphrag\projects\radiomics-bibliometrics,318,cdd069669c9548e2f1432cf21e97a7f69e098bb4dd29e736aec6c067e6593622,6075152e4edeb2ff79a59302d1a4cdab3a8a1631e1e4e75ea58b4356f8655492,17828a65e22cea445d47add8fa2d7f72a7a4f8afc1493346cd3cf1ccc9f476fe,50,150,4,12,4,1,5,True,created_core_artifacts,"The full report export failed after all graph artifacts were saved: ValueError: Every figure must map to a results subsection; missing figure numbers: [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]"
gene-therapy-bibliometrics,runs/formal-multitopic-graphrag\projects\gene-therapy-bibliometrics,453,2e33db872428242464fc3105200481bbc680652b94726ca0ca7fa4e6840e069a,aa2f607fee33cb562341ac3b40ff01a5755b582999248d81d15ade6fd16cc819,f64c25147b26e7df60a92a02b636fadce631de2293c197a1171ba3bea384441a,50,150,9,12,8,1,5,True,created_core_artifacts,"The full report export failed after all graph artifacts were saved: ValueError: Every figure must map to a results subsection; missing figure numbers: [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]"
