condition,task_type,n,accuracy,json_parse_rate,shortest_path_rate,distance_consistency_rate,bridge_accuracy,cross_edge_exact_accuracy,direct_edge_accuracy,claimed_edges,unsupported_claimed_edges,edge_hallucination_rate
vlm,ALL,24,0.4167,0.9583,0.5294,0.8235,0.3333,0.4,1.0,57,7,0.1228
vlm,bridge_node,6,0.3333,1.0,,,0.3333,,,12,0,0.0
vlm,cross_community_path,6,0.0,0.8333,0.4,1.0,,0.4,,12,3,0.25
vlm,path_trace,6,0.3333,1.0,0.3333,0.8333,,,,14,4,0.2857
vlm,unsupported_edge,6,1.0,1.0,0.8333,0.6667,,,1.0,19,0,0.0
vlm_flat_kg,ALL,24,0.7917,1.0,1.0,0.9444,0.6667,0.6667,1.0,66,0,0.0
vlm_flat_kg,bridge_node,6,0.6667,1.0,,,0.6667,,,12,0,0.0
vlm_flat_kg,cross_community_path,6,0.6667,1.0,1.0,1.0,,0.6667,,18,0,0.0
vlm_flat_kg,path_trace,6,0.8333,1.0,1.0,0.8333,,,,18,0,0.0
vlm_flat_kg,unsupported_edge,6,1.0,1.0,1.0,1.0,,,1.0,18,0,0.0
vlm_graph_rag,ALL,24,0.8333,1.0,0.8889,1.0,1.0,0.6667,1.0,64,2,0.0312
vlm_graph_rag,bridge_node,6,1.0,1.0,,,1.0,,,12,0,0.0
vlm_graph_rag,cross_community_path,6,0.3333,1.0,0.6667,1.0,,0.6667,,16,2,0.125
vlm_graph_rag,path_trace,6,1.0,1.0,1.0,1.0,,,,18,0,0.0
vlm_graph_rag,unsupported_edge,6,1.0,1.0,1.0,1.0,,,1.0,18,0,0.0
